id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_assets_adj;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;total_equity_adj;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_720;0;GmbH;73765;28492;1978;133.0;GKV;61764257.94;61764257.94;66695603.8;1368385.17;59058.95;28405.75;179550.02;1427444.12;-217240.88;0.0;25173343.84;25173343.84;19026363.05;0.0;264985.66;;;;26000.0;;;;;;5881995.13;5881995.13;19045391.0;12493136.08;16136.08;10000.0;;4665512.41;-1628247.37;-3119545.03
C_154;0;GmbH & Co. KG;71229;68202;1979;;GKV;1082952.84;1082952.84;837977.35;98549.12;-4120.9;1191.0;5386.9;94428.22;94428.22;63019.56;378902.14;378902.14;80574.22;0.0;0.0;20347.93;;;19038.02;;;;;;298327.92;298327.92;314041.39;303328.58;289972.83;;;129501.95;-21199.52;-1.46e-10
C_371;0;GmbH;70794;45100;1972;35.0;GKV;60671900.93;60671900.93;30231110.32;5582568.08;11547.44;11547.44;;5594115.52;5594115.52;4605778.17;39516629.3;39516629.3;10667337.66;0.0;0.0;;;;1831489.87;;;;;;28849291.64;28849291.64;38376631.84;38719668.32;25406419.54;11117569.91;;-2998112.8;-536434.66;87000.0
C_950;1;GmbH;70806;33200;1994;;GKV;239623.0;239623.0;2235.85;0.0;;;;0.0;5.9100000000000005e-12;0.0;3235.85;3235.85;2235.85;0.0;1000.0;;;;;;;;;;;0.0;2235.85;3235.85;;;;-2270.32;0.0;2270.32
C_158;0;GmbH & Co. KG;88512;23630;1996;94.0;GKV;843536690.0;844357853.0;811348096.0;15559290.0;-6933654.0;298731.0;5080222.0;8625636.0;8625636.0;6296122.0;445611576.0;445611576.0;168213382.0;94791912.0;6963337.0;9000000.0;;;25873902.0;;;;;;175648555.0;175642945.0;137782893.0;137067231.0;12122342.0;;;67675227.0;-112588529.0;81158100.0
C_765;0;GmbH;70174;73110;1997;97.0;GKV;8974233.9;8974233.9;355608.03;45968.73;647.86;1379.26;731.4;46616.59;46616.59;37280.54;1787062.12;1787061.12;1681691.43;0.0;0.0;;;;1610107.08;;;;;;105370.69;105369.69;1781475.12;223901.09;14841.04;;;-87511.22;0.0;50141.78
C_944;0;AG;71063;68101;1999;6.0;GKV;264684000.0;261968000.0;177128000.0;-46078000.0;47253000.0;1596000.0;23042000.0;1175000.0;-11277000.0;-14461000.0;1240730000.0;1263038000.0;445848000.0;350113000.0;34932000.0;49200000.0;150000000.0;;1510000.0;;;;200000000.0;;434908000.0;432145000.0;136074000.0;138354000.0;17249000.0;17803000.0;;76487000.0;-13227000.0;-71578000.0
C_271;0;GmbH;70191;35110;1999;13.0;GKV;35543563.88;35543563.88;23869118.01;4809379.3;-504450.58;98504.79;602955.37;4304928.72;1160526.77;692418.97;59705475.49;59705475.49;8389514.11;8250000.0;183300.0;2000000.0;8250000.0;;1411267.75;;;;;;42882661.38;42882661.38;28483106.13;27441077.35;18872515.16;7613855.34;;4421804.83;-1399551.98;-5400000.0
C_146;0;GmbH;73230;82999;2005;;GKV;8768132.36;8768132.36;7633140.9;96635.71;1872.79;2055.59;182.8;98508.5;98508.5;63993.81;2942780.12;2942780.12;691087.21;0.0;0.0;;;;55465.26;;;;;;2251692.91;2251692.91;2931255.96;2914406.74;958196.37;1796601.24;;-317372.49;-8868.91;-13500.57
C_790;0;GmbH;70629;69203;2007;;GKV;4647093.02;5933847.02;2516300.15;100389.95;-39275.93;26.29;39302.22;61114.02;61114.02;37477.29;1930801.4;1861819.27;1196268.32;443500.0;0.0;4633.82;;;478543.44;;;;;;291033.08;222050.95;1806105.94;1597903.27;154834.98;1397841.0;;351709.23;-10707.49;-15866.27
C_843;0;GmbH;74579;43210;1990;26.0;GKV;2233146.0;2233146.0;1735664.49;403549.79;-14464.76;;14464.76;389085.03;389085.03;540962.67;1322110.74;895310.74;854980.97;252286.64;0.0;108352.82;225000.0;;31153.05;;;;;;214843.13;-211956.87;255371.6;236303.94;119731.88;79818.77;;541496.48;-637714.66;59705.01
C_837;0;GmbH;73431;68200;1995;;GKV;73183476.38;58561686.33;22618897.11;-309881.36;-524707.15;32616.84;557323.99;-834588.51;-907088.51;-954545.61;26670961.08;27075570.64;20514206.28;0.0;6482865.0;;;;3495077.28;;;;;;45454.39;78499.36;24029540.14;22473243.91;7792985.2;14362340.66;;-5345467.76;-87981.84;-351425.09
